dataset,id,rel_kind,n,n_bound,pct_bound
data_source_3,LabTracker,association_class,1,1,100.0
data_source_3,Louvre,association,7,6,85.71
data_source_3,Louvre,directed,0,0,0.0
data_source_3,Louvre,inheritance,0,0,0.0
data_source_3,Louvre,composition,0,0,0.0
data_source_3,Louvre,aggregation,0,0,0.0
data_source_3,Louvre,dependency,0,0,0.0
data_source_3,Louvre,association_class,0,0,0.0
data_source_3,Menso,association,11,9,81.82
data_source_3,Menso,directed,0,0,0.0
data_source_3,Menso,inheritance,0,0,0.0
data_source_3,Menso,composition,0,0,0.0
data_source_3,Menso,aggregation,0,0,0.0
data_source_3,Menso,dependency,0,0,0.0
data_source_3,Menso,association_class,0,0,0.0
data_source_3,Musicmatic,association,6,6,100.0
data_source_3,Musicmatic,directed,0,0,0.0
data_source_3,Musicmatic,inheritance,4,4,100.0
data_source_3,Musicmatic,composition,0,0,0.0
data_source_3,Musicmatic,aggregation,0,0,0.0
data_source_3,Musicmatic,dependency,0,0,0.0
data_source_3,Musicmatic,association_class,0,0,0.0
data_source_3,OnlineTutoringSystem,association,4,4,100.0
